305055	235033	2
300279	220585	1
302667	227696	4
301427	234671	4
304400	230173	7
303827	222280	3
300227	241027	1
300344	220258	1
300819	215115	4
300433	218769	3
301042	222736	2
304833	220752	6
300837	229700	3
305710	242651	1
300245	223023	3
302147	242011	2
302853	239268	3
300825	243955	1
304026	246080	2
306753	216505	4
304340	224648	2
305692	217039	1
301545	215185	2
301390	242213	3
302660	225578	1
302981	222226	1
306528	226061	6
303966	223475	2
300922	242840	3
301635	243647	3
302099	243618	1
306969	246092	4
300609	243376	1
305655	247128	5
305238	235045	2
300426	223939	4
303579	230702	5
302160	245496	4
305027	220896	2
300393	231234	1
306520	219927	2
300328	228646	2
305348	234956	5
301300	228339	3
303953	242676	4
302146	233681	2
305867	221837	2
304609	239344	1
303047	240554	5
306495	219378	3
300218	220909	2
305533	246672	1
302023	236594	5
306552	243616	3
302972	224482	1
303941	228690	1
304465	248199	3
306984	219112	5
302481	233685	2
301329	231112	1
301263	222913	6
302789	224032	2
302148	215065	1
300368	224727	1
300347	215932	5
303858	219901	3
300586	224106	3
304154	224893	3
304072	233885	1
300853	241675	1
304606	217991	3
304847	234444	1
304362	217525	3
306120	215801	4
306088	247139	3
305551	236780	4
303285	241802	4
304207	226669	5
304662	220963	5
306024	229632	3
303290	243365	5
305800	240868	1
300355	216498	2
302587	219924	5
305245	229005	3
304676	231159	2
304886	247711	1
302627	228654	3
301964	231905	1
301111	223477	4
306960	218200	1
306836	232896	1
304575	234887	2
303147	215576	3
306528	237335	1
303892	235238	2
302432	228375	4
302717	229190	6
304151	230384	3
303974	232923	4
305234	227629	3
306175	234649	1
305421	227392	2
305808	221580	5
303792	218358	1
303445	229393	1
306638	241579	1
303107	230920	1
304676	236481	5
300458	227290	4
300157	247592	2
305559	243574	5
300148	246576	1
305890	233271	4
300811	239455	6
301955	234979	1
300709	230782	1
300854	249188	1
304103	233728	3
300488	222970	4
304814	225243	4
304534	248059	1
305597	237886	1
305145	220120	3
305309	223297	2
304071	216390	2
301235	241067	2
303259	228098	1
302607	215650	1
302699	224542	1
301019	219102	2
304485	225981	1
305760	221912	1
306780	235134	5
303619	215315	1
302928	240861	3
301921	242926	2
302448	241313	3
304709	237995	1
305630	236138	2
304001	234807	5
301643	242565	1
302063	240286	7
303536	235841	2
304624	227275	4
303373	234842	1
302575	216136	6
303080	219329	1
306257	234223	1
306076	246071	4
301167	220271	2
300707	216321	4
301087	217910	1
304746	227909	3
305044	229894	2
304410	224131	2
302763	240164	1
300404	242446	1
305374	227830	6
306082	238285	1
302173	235136	1
303004	218468	4
305098	243130	3
301263	233528	1
306361	244729	2
304263	217265	4
305814	239123	5
305654	218275	2
304138	239924	5
303193	228580	4
