300001	3
300002	1
300003	2
300004	2
300005	3
300006	2
300007	2
300008	3
300009	3
300010	3
300011	1
300012	3
300013	3
300014	1
300015	1
300016	2
300017	2
300018	2
300019	3
300020	1
300021	1
300022	1
300023	3
300024	2
300025	3
300026	3
300027	3
300028	2
300029	1
300030	2
300031	1
300032	1
300033	2
300034	2
300035	2
300036	3
300037	2
300038	2
300039	1
300040	3
300041	1
300042	3
300043	1
300044	3
300045	3
300046	3
300047	3
300048	3
300049	1
300050	2
300051	1
300052	1
300053	2
300054	3
300055	1
300056	1
300057	3
300058	1
300059	3
300060	3
300061	2
300062	1
300063	1
300064	1
300065	1
300066	3
300067	1
300068	1
300069	2
300070	1
300071	3
300072	1
300073	3
300074	3
300075	2
300076	2
300077	1
300078	3
300079	1
300080	1
300081	3
300082	1
300083	3
300084	3
300085	1
300086	2
300087	2
300088	1
300089	1
300090	2
300091	1
300092	1
300093	3
300094	2
300095	2
300096	2
300097	2
300098	1
300099	3
300100	1
300101	1
300102	3
300103	1
300104	1
300105	1
300106	1
300107	2
300108	1
300109	3
300110	3
300111	1
300112	1
300113	1
300114	3
300115	2
300116	3
300117	2
300118	3
300119	3
300120	3
300121	2
300122	1
300123	3
300124	2
300125	1
300126	1
300127	3
300128	3
300129	3
300130	2
300131	1
300132	1
300133	3
300134	1
300135	3
300136	3
300137	3
300138	1
300139	3
300140	1
300141	3
300142	2
300143	3
300144	2
300145	2
300146	1
300147	1
300148	3
300149	3
300150	3
300151	1
300152	3
300153	1
300154	2
300155	3
300156	1
300157	3
300158	1
300159	2
300160	2
300161	1
300162	3
300163	2
300164	2
300165	1
300166	2
300167	1
300168	2
300169	1
300170	2
300171	1
300172	1
300173	2
300174	1
300175	2
300176	2
300177	3
300178	2
300179	1
300180	1
300181	2
300182	1
300183	3
300184	1
300185	2
300186	1
300187	1
300188	3
300189	2
300190	3
300191	1
300192	2
300193	3
300194	2
300195	3
300196	2
300197	1
300198	1
300199	1
300200	1
300201	2
300202	3
300203	1
300204	1
300205	1
300206	3
300207	1
300208	3
300209	1
300210	1
300211	1
300212	2
300213	2
300214	1
300215	1
300216	2
300217	3
300218	2
300219	1
300220	1
300221	1
300222	3
300223	1
300224	1
300225	1
300226	1
300227	1
300228	2
300229	3
300230	2
300231	2
300232	2
300233	2
300234	3
300235	1
300236	3
300237	3
300238	3
300239	1
300240	3
300241	1
300242	3
300243	1
300244	3
300245	1
300246	1
300247	1
300248	2
300249	3
300250	2
300251	2
300252	1
300253	2
300254	3
300255	2
300256	1
300257	2
300258	1
300259	1
300260	3
300261	1
300262	3
300263	2
300264	2
300265	1
300266	2
300267	1
300268	2
300269	3
300270	3
300271	1
300272	2
300273	3
300274	2
300275	1
300276	1
300277	2
300278	3
300279	3
300280	2
300281	3
300282	2
300283	3
300284	3
300285	2
300286	2
300287	1
300288	1
300289	2
300290	1
300291	3
300292	1
300293	2
300294	1
300295	3
300296	1
300297	3
300298	1
300299	3
300300	3
300301	1
300302	2
300303	1
300304	2
300305	1
300306	3
300307	3
300308	1
300309	1
300310	2
300311	2
300312	2
300313	2
300314	2
300315	1
300316	3
300317	3
300318	1
300319	3
300320	2
300321	3
300322	2
300323	2
300324	3
300325	3
300326	1
300327	1
300328	2
300329	3
300330	1
300331	3
300332	1
300333	2
300334	1
300335	3
300336	3
300337	3
300338	2
300339	1
300340	1
300341	2
300342	3
300343	3
300344	1
300345	3
300346	2
300347	2
300348	3
300349	3
300350	3
300351	3
300352	3
300353	2
300354	1
300355	2
300356	2
300357	3
300358	1
300359	3
300360	3
300361	1
300362	2
300363	2
300364	2
300365	2
300366	3
300367	3
300368	1
300369	3
300370	1
300371	1
300372	1
300373	3
300374	1
300375	1
300376	2
300377	2
300378	1
300379	3
300380	2
300381	3
300382	2
300383	1
300384	1
300385	1
300386	3
300387	2
300388	3
300389	2
300390	3
300391	2
300392	1
300393	3
300394	1
300395	1
300396	3
300397	2
300398	3
300399	1
300400	3
300401	3
300402	1
300403	1
300404	2
300405	2
300406	1
300407	1
300408	2
300409	1
300410	2
300411	3
300412	1
300413	3
300414	3
300415	1
300416	2
300417	1
300418	2
300419	1
300420	1
300421	1
300422	1
300423	2
300424	1
300425	2
300426	2
300427	1
300428	2
300429	3
300430	3
300431	2
300432	3
300433	3
300434	3
300435	3
300436	2
300437	1
300438	1
300439	1
300440	2
300441	2
300442	1
300443	2
300444	3
300445	1
300446	3
300447	3
300448	1
300449	1
300450	1
300451	1
300452	1
300453	1
300454	3
300455	2
300456	3
300457	1
300458	3
300459	3
300460	3
300461	2
300462	1
300463	2
300464	1
300465	2
300466	1
300467	1
300468	1
300469	3
300470	3
300471	2
300472	3
300473	3
300474	2
300475	2
300476	2
300477	2
300478	3
300479	3
300480	1
300481	3
300482	3
300483	1
300484	1
300485	3
300486	2
300487	3
300488	1
300489	3
300490	2
300491	3
300492	1
300493	2
300494	1
300495	1
300496	1
300497	1
300498	1
300499	1
300500	1
300501	3
300502	1
300503	1
300504	3
300505	1
300506	3
300507	1
300508	2
300509	2
300510	2
300511	3
300512	3
300513	1
300514	1
300515	3
300516	1
300517	2
300518	1
300519	1
300520	3
300521	1
300522	2
300523	3
300524	3
300525	3
300526	1
300527	1
300528	3
300529	3
300530	3
300531	2
300532	3
300533	1
300534	2
300535	2
300536	3
300537	1
300538	1
300539	1
300540	1
300541	1
300542	3
300543	2
300544	3
300545	3
300546	1
300547	3
300548	3
300549	1
300550	3
300551	1
300552	2
300553	1
300554	3
300555	1
300556	1
300557	3
300558	3
300559	3
300560	3
300561	1
300562	2
300563	3
300564	3
300565	3
300566	2
300567	3
300568	3
300569	3
300570	2
300571	1
300572	3
300573	1
300574	1
300575	3
300576	1
300577	2
300578	2
300579	1
300580	2
300581	2
300582	3
300583	2
300584	3
300585	1
300586	1
300587	1
300588	1
300589	1
300590	1
300591	3
300592	2
300593	1
300594	3
300595	3
300596	3
300597	1
300598	2
300599	2
300600	3
300601	1
300602	3
300603	2
300604	3
300605	3
300606	2
300607	1
300608	2
300609	1
300610	2
300611	3
300612	3
300613	2
300614	2
300615	1
300616	3
300617	2
300618	2
300619	1
300620	1
300621	3
300622	3
300623	1
300624	3
300625	1
300626	1
300627	3
300628	3
300629	1
300630	3
300631	3
300632	1
300633	1
300634	3
300635	3
300636	3
300637	3
300638	3
300639	2
300640	2
300641	1
300642	3
300643	2
300644	1
300645	1
300646	3
300647	1
300648	2
300649	3
300650	3
300651	3
300652	2
300653	1
300654	1
300655	1
300656	3
300657	3
300658	1
300659	1
300660	1
300661	1
300662	2
300663	1
300664	3
300665	3
300666	3
300667	1
300668	2
